id,name,external_id,external_id_type,entity_type,place_id,province_id,autonomous_region_id,dir3,ute_id,administration_level,parent_id,nifs,custom_place_id,is_contractor,is_assignee,slug,address,postal_code,country_name,country_code,place_name,import_pending
15047,Pleno del Ayuntamiento del Partido de la Sierra en Tobalina,,,4,9412,9,7,L01092557,,,,{P0926300E},,t,f,plenodelayuntamientodelpartidodelasierraentobalina,Plaza Consistorio nº 1,9211,España,ES,Valle de Tobalina,f
25593,Delegación de Economía y Hacienda en Santa Cruz de Tenerife,,,,38038,38,5,EA0028249,,,,{S3826006C},,t,f,delegacindeeconomayhaciendaensantacruzdetenerife,"Av. Marítima, 6, 3ª planta",38003,España,ES,Santa Cruz de Tenerife,f
44927,Alcaldía del Ayuntamiento El Real de Gandia,,,,46211,46,10,L01462114,,,,{P4621300E},,t,f,alcaldadelayuntamientoelrealdegandia,"Rector Berenguer, 14",46727,España,ES,Real de Gandía,f
10640,Alcaldía del Ayuntamiento de Formentera del Segura,,,4,3070,3,10,LO1030703,,,,{P0307000J},,t,f,alcaldadelayuntamientodeformenteradelsegura,Plaza del Ayuntamiento 1,3179,España,ES,Formentera del Segura,f
877026,FUND.COOP. Y SALUD INT. CARLOS III,,,,28079,28,13,EA0008480,,,,{G82596701},,t,t,fundcoopysaludintcarlosiii,"C/ SINESIO DELGADO, 6- Pabellón 6",28029,España,ES,Madrid,f
17754,PLENO MUNCIPAL DEL AYUNTAMIENTO DE SANCTI-SPIRITUS,,,4,6118,6,11,L01061187,,,,{P0611800D},,t,f,plenomuncipaldelayuntamientodesanctispiritus,"CALLE MAYOR, N.º 2",6655,España,ES,Sancti-Spíritus,f
77618,Universitat de Girona,,,,,,,U04300001,,,,{Q6750002E},,t,t,universitatdegirona,,,España,ES,,f
17436,Junta de Gobierno del Ayuntamiento de María de la Salut,,,4,7035,7,4,L01070355,,,,{P0703500I},,t,f,juntadegobiernodelayuntamientodemaradelasalut,,,,,,f
42368,Gerencia del Patronato Municipal de Turismo del Ayuntamiento de Castellón,,,4,12040,12,10,LA0000181,,,,{P1200011C},,t,f,gerenciadelpatronatomunicipaldeturismodelayuntamientodecastelln,"Muelle Serrano Lloberas, s/n",12100,España,ES,Castellón de la Plana/Castelló de la Plana,f
518,Junta de Gobierno del Ayuntamiento de As Pontes de García Rodríguez,,,4,15070,15,12,L01150709,,,,{P1507100D},,t,f,juntadegobiernodelayuntamientodeaspontesdegarcarodrguez,Parque Municipal s/n,15320,España,ES,"Pontes de García Rodríguez, As",f
